id	aut	value1	value2	region	norm_region	country	country_code	city	address	source_description
3257:2593	3257	3257	2593							prepend 3x in <region>Asia|<misc>(only applies to Asia regional peers)
3257:2991	3257	3257	2991							prepend 1x in <region>US|<misc>(only applies to US regional peers)
3257:2992	3257	3257	2992							prepend 2x in <region>US|<misc>(only applies to US regional peers)
3257:2993	3257	3257	2993							prepend 3x in <region>US|<misc>(only applies to US regional peers)
3257:1980	3257	3257	1980							set local preference below customer
3257:1970	3257	3257	1970							set local preference below peer
3257:2666	3257	3257	2666							blackhole
3356:524	3356	3356	524			Serbia	688			Serbia
3356:2129	3356	3356	2129			United Kingdom		Birmingham		BHE1 Birmingham1
3356:556	3356	3356	556			Turkey	792			Turkey
3356:555	3356	3356	555			Kenya	404			Kenya
3356:2109	3356	3356	2109			Kenya	404			XKE3 Kenya3
3356:2130	3356	3356	2130			Israel		Tel Aviv		TLV1 TelAviv1
3356:2100	3356	3356	2100			Saudi Arabia		Jeddah		JED1 Jeddah 1
3356:2110	3356	3356	2110			United Arab Emirates	784			XAE3 UnitedArabEmirates3
3356:2046	3356	3356	2046			United States		New York	325 Delaware Avenue, Buffalo	BUF1 Buffalo
3356:2107	3356	3356	2107			South Africa		Cape Town		CPT2 CapeTown2
3356:2102	3356	3356	2102			Slovenia		Ljubljana	Regus City Centre-Republic Square	LJU1 Ljubljana 1
3356:2097	3356	3356	2097			Luxembourg	442			LUX1 Luxembourg 1
3356:2123	3356	3356	2123			Iceland	352			XIS2 Iceland2
3356:2045	3356	3356	2045			United States		Nashville		NVL1 Nashville
3356:518	3356	3356	518			Slovakia	703			Slovakia
3356:2112	3356	3356	2112			France		Marseille		MRS2 Marseille2
3356:2099	3356	3356	2099			France		Lyon	5 Place Charles Béraudier	LYS1 Lyon 1
3356:2115	3356	3356	2115			Bulgaria		Sofia		SOF2 Sofia2
3356:2114	3356	3356	2114			France		Paris		PAR10 Paris10
3356:2098	3356	3356	2098			France		Toulouse		TLS1 Toulouse 1
3356:551	3356	3356	551			Djibouti	262			Djibouti
3356:2049	3356	3356	2049			United States		Syracuse		SYR2 Syracuse 2
3356:2092	3356	3356	2092			Norway		Oslo		OSL1 Oslo
3356:550	3356	3356	550			Saudi Arabia	682			Saudi Arabia
3356:2094	3356	3356	2094			Finland		Helsinki		HEL1 Helsinki
3356:2050	3356	3356	2050			United States		Washington		WDC12 Washington DC 12
3356:552	3356	3356	552			South Africa	710			South Africa
3356:2101	3356	3356	2101			Croatia		Zagreb		ZAG1 Zagreb 1
3356:2121	3356	3356	2121			Italy		Milan		MLN2 Milan2
3356:2117	3356	3356	2117			Italy	380			XIT2 Italy2
3356:553	3356	3356	553			United Arab Emirates	784			United Arab Emirates
3356:2090	3356	3356	2090			France		Marseille		MRS1 Marseille
3356:2119	3356	3356	2119			Norway		Oslo		OSL2 Oslo2
3356:522	3356	3356	522			Slovenia	705			Slovenia
3356:2122	3356	3356	2122			United Arab Emirates	784			XAE2 UnitedArabEmirates2
3356:2126	3356	3356	2126			Iceland	352			XIS4 Iceland4
3356:517	3356	3356	517			Norway	578			Norway
3356:2118	3356	3356	2118			Serbia	688			XRS2 RepublicOfSerbia2
3356:2120	3356	3356	2120			United Kingdom		Manchester		MAN2 Manchester2
3356:2105	3356	3356	2105			United Kingdom		London		LON16 London 16
3356:2103	3356	3356	2103			Spain		Madrid		MAD1 Madrid 1
3356:2086	3356	3356	2086			Spain		Barcelona		BCL1 Barcelona
3356:2047	3356	3356	2047			United States		Toronto		TOR2 Toronto 2
3356:2128	3356	3356	2128			United Kingdom		Leeds		LDS1 Leeds1
3356:2089	3356	3356	2089			Hungary		Budapest		BDP1 Budapest
3356:2053	3356	3356	2053			United States		Portland OR	1335 Northwest Northrup Street	POR1 Portland
3356:519	3356	3356	519			Finland	246			Finland
3356:2091	3356	3356	2091			Denmark		Copenhagen		COP2 Copenhagen 2
3356:2051	3356	3356	2051			United States		San Jose		SJO5 San Jose 5
3356:2124	3356	3356	2124			France		Paris		PAR7 Paris7
3356:2116	3356	3356	2116			Russia	643			XRU2 Russia2
3356:521	3356	3356	521			Croatia	191			Croatia
3356:2087	3356	3356	2087			Bulgaria		Sofia		SOF1 Sofia
3356:2044	3356	3356	2044			Unites States		Louisville		LOU1 Louisville
3356:2088	3356	3356	2088			Romania		Bucharest		BCH1 Bucharest
3356:2104	3356	3356	2104			Africa		Djibouti		DJB1 Djibouti 1
3356:515	3356	3356	515			Romania	642			Romania
3356:514	3356	3356	514			Bulgaria	100			Bulgaria
3356:523	3356	3356	523			Estonia	233			Estonia
3356:4	3356	3356	4	Asia Pacific	Asia					APAC
3356:2093	3356	3356	2093			Slovakia		Bratislava		BTS1 Bratislava
3356:2096	3356	3356	2096			Poland		Warsaw		WAW3 Warsaw 3
3356:2106	3356	3356	2106			United Kingdom		London		LON15 London 15
3356:525	3356	3356	525			Iceland	352			Iceland
3356:2108	3356	3356	2108			South Africa		Johannesbrg		JNB2 Johannesburg2
3356:2125	3356	3356	2125			United Kingdom		London		LON4 London4
3356:554	3356	3356	554			Russia	643			Russia
3356:2048	3356	3356	2048			Canada		Montreal		MON2 Montreal 2
3356:520	3356	3356	520			Luxembourg	442			Luxembourg
3356:2095	3356	3356	2095			Ireland		Dublin		DUB3 Dublin 3
3356:2	3356	3356	2			Europe				Europe
3356:2111	3356	3356	2111			Sweden		Stockholm		STK2 Stockholm2
3356:2085	3356	3356	2085			Spain		Valencia		VAL3 Valencia 3
3356:557	3356	3356	557			Israel	376			Israel
3356:2052	3356	3356	2052			United States		Toronto		TOR1 Toronto 1
3356:2113	3356	3356	2113			Estonia	233			XEE2 Estonia2
3356:2127	3356	3356	2127			Turkey		Istanbul		IST2 Istanbul2
3356:516	3356	3356	516			Hungary	348			Hungary
3356:123	3356	3356	123							Customer route
3356:666	3356	3356	666							Peer route
3356:911	3356	3356	911							"internal use" communities received from peer city communities (some cities not listed as they home off one of the below)
3356:2001	3356	3356	2001		North America	US		Chicago		<city>Chicago|<geoCode>CHI1
3356:2002	3356	3356	2002		North America	US		San Diego		<city>San Diego|<geoCode>SDG1
3356:2003	3356	3356	2003		North America	US		Los Angeles		<city>Los Angeles|<geoCode>LA1x
3356:2004	3356	3356	2004		North America	US		Denver		<city>Denver|<geoCode>DEN1
3356:2005	3356	3356	2005		North America	US		Philadelphia		<city>Philadelphia|<geoCode>PHI1
3356:2006	3356	3356	2006		North America	US		Washington		<city>Washington DC|<geoCode>WDC1
3356:2007	3356	3356	2007		North America	US		Detroit		<city>Detroit|<geoCode>DET1
3356:2008	3356	3356	2008		North America	US		Dallas		<city>Dallas|<geoCode>DAL1
3356:2009	3356	3356	2009		North America	US		San Francisco		<city>San Francisco|<geoCode>SFO1
3356:2010	3356	3356	2010		North America	US		New York City		<city>New York City|<geoCode>NYC1
3356:2011	3356	3356	2011		North America	US		San Jose		<city>San Jose|<geoCode>SJO1
3356:2012	3356	3356	2012		North America	US		Seattle		<city>Seattle|<geoCode>SEA1
3356:2013	3356	3356	2013		North America	US		Atlanta		<city>Atlanta|<geoCode>ATL1
3356:2014	3356	3356	2014		North America	US		Houston		<city>Houston|<geoCode>HOU1
3356:2015	3356	3356	2015		North America	US		Boston		<city>Boston|<geoCode>BOS1
3356:2016	3356	3356	2016		North America	US		Minneapolis		<city>Minneapolis|<geoCode>MIN1
3356:2017	3356	3356	2017		North America	US		Honolulu		<city>Honolulu|<geoCode>HON1
3356:2018	3356	3356	2018		North America	US		Weehawken		<city>Weehawken|<geoCode>WEE1
3356:2019	3356	3356	2019		North America	US		Baltimore		<city>Baltimore|<geoCode>BAL1
3356:2020	3356	3356	2020		North America	US		Cincinnati		<city>Cincinnati|<geoCode>CIN1
3356:2021	3356	3356	2021		North America	US		Stanford		<city>Stamford|<geoCode>STM1
3356:2022	3356	3356	2022		North America	US		Miami		<city>Miami|<geoCode>MIA1
3356:2023	3356	3356	2023		North America	US		Tampa		<city>Tampa|<geoCode>TMP1
3356:2024	3356	3356	2024		North America	US		Orlando		<city>Orlando|<geoCode>ORL1
3356:2025	3356	3356	2025		North America	US		St Louis		<city>St Louis|<geoCode>STL1
3356:2026	3356	3356	2026		North America	US		Phoenix		<city>Phoenix|<geoCode>PH1x
3356:2027	3356	3356	2027		North America	US		Richmond		<city>Richmond|<geoCode>RCH1
3356:2028	3356	3356	2028		North America	US		Memphis		<city>Memphis|<geoCode>MEM1
3356:2029	3356	3356	2029		North America	US		Salt Lake City		<city>Salt Lake City|<geoCode>SLC1
3356:2030	3356	3356	2030		North America	US		Sacramento		<city>Sacramento|<geoCode>SAC1
3356:2031	3356	3356	2031		North America	US		Raleigh		<city>Raleigh|<geoCode>RAL1
3356:2032	3356	3356	2032		North America	US		San Antonio		<city>San Antonio|<geoCode>SAT1
3356:2033	3356	3356	2033		North America	US		Las Vegas		<city>Las Vegas|<geoCode>LVG1
3356:2034	3356	3356	2034		North America	US		Charlotte		<city>Charlotte|<geoCode>CLT1
3356:2035	3356	3356	2035		North America	US		Cleveland		<city>Cleveland|<geoCode>CLE1
3356:2036	3356	3356	2036		North America	US		Oakland		<city>Oakland|<geoCode>OAK1
3356:2037	3356	3356	2037		North America	US		Nashville		<city>Nashville|<geoCode>NVL1
3356:2038	3356	3356	2038		North America	US		Tustin		<city>Tustin|<geoCode>TUS1
3356:2039	3356	3356	2039		North America	US		Newark		<city>Newark|<geoCode>NWR1
3356:2040	3356	3356	2040		North America	US		Pittsburgh		<city>Pittsburgh|<geoCode>PIT1
3356:2041	3356	3356	2041		North America	US		Kansas City		<city>Kansas City|<geoCode>KAC1
3356:2042	3356	3356	2042		North America	US		Chicago		<city>Chicago 2|<geoCode>CHI2
3356:2043	3356	3356	2043		North America	US		New York City		<city>New York City 2|<geoCode>NYC2
3356:2064	3356	3356	2064		Europe	UK		London		<city>London|<geoCode>LON1
3356:2065	3356	3356	2065		Europe	Germany		Frankfurt		<city>Frankfurt|<geoCode>FRF1
3356:2066	3356	3356	2066		Europe	France		Paris		<city>Paris|<geoCode>PAR1
3356:2067	3356	3356	2067		Europe	Netherland		Amsterdam		<city>Amsterdam|<geoCode>AMS1
3356:2068	3356	3356	2068		Europe	Belgium		Brussels		<city>Brussels|<geoCode>BRU1
3356:2069	3356	3356	2069		Europe	Germany		Dusseldorf		<city>Dusseldorf|<geoCode>DUS1
3356:2070	3356	3356	2070		Europe	Germany		Hamburg		<city>Hamburg|<geoCode>HAM1
3356:2071	3356	3356	2071		Europe	Germany		Berlin		<city>Berlin|<geoCode>BER1
3356:2072	3356	3356	2072		Europe	Germany		Munich		<city>Munich|<geoCode>MUN1
3356:2073	3356	3356	2073		Europe	UK		London		<city>London 2|<geoCode>LON2
3356:2074	3356	3356	2074		Europe	Italy		Milan		<city>Milan|<geoCode>MLN1
3356:2075	3356	3356	2075		Europe	Switzerland		Zurich		<city>Zurich|<geoCode>ZUR1
3356:2076	3356	3356	2076		Europe	Sweden		Stockholm		<city>Stockholm|<geoCode>STK1
3356:2077	3356	3356	2077		Europe	Spain		Madrid		<city>Madrid|<geoCode>MAD1
3356:2078	3356	3356	2078		Europe	Switzerland		Geneva		<city>Geneva|<geoCode>GEN1
3356:2079	3356	3356	2079		Europe	UK		Manchester		<city>Manchester|<geoCode>MAN1
3356:2080	3356	3356	2080		Europe	Ireland		Dublin		<city>Dublin|<geoCode>DUB1
3356:2081	3356	3356	2081		Europe	Denmark		Copenhagen		<city>Copenhagen|<geoCode>COP1
3356:2082	3356	3356	2082		Europe	Austria		Vienna		<city>Vienna|<geoCode>VIE1
3356:2083	3356	3356	2083		Europe	Czech Republic		Prague		<city>Prague|<geoCode>PRG1
3356:2084	3356	3356	2084		Europe	Poland		Warsaw		<city>Warsaw|<geoCode>WAW1
3356:500	3356	3356	500		Europe	UK	826			<country>UK
3356:501	3356	3356	501		Europe	Germany	276			<country>Germany
3356:502	3356	3356	502		Europe	France	250			<country>France
3356:503	3356	3356	503		Europe	Netherlands	528			<country>Netherlands
3356:504	3356	3356	504		Europe	Belgium	056			<country>Belgium
3356:505	3356	3356	505		Europe	Italy	380			<country>Italy
3356:506	3356	3356	506		Europe	Switzerland	756			<country>Switzerland
3356:507	3356	3356	507		Europe	Sweden	752			<country>Sweden
3356:508	3356	3356	508		Europe	Spain	724			<country>Spain
3356:509	3356	3356	509		Europe	Ireland	372			<country>Ireland
3356:510	3356	3356	510		Europe	Denmark	208			<country>Denmark
3356:511	3356	3356	511		Europe	Austria	040			<country>Austria
3356:512	3356	3356	512		Europe	Czech Republic	203			<country>Czech Republic
3356:513	3356	3356	513		Europe	Poland	616			<country>Poland
3356:575	3356	3356	575		North America	US	840			<country>USA
3356:576	3356	3356	576		North America	Canada	124			<country>Canada
3356:2	3356	3356	2		Europe					<region>Europe
3356:3	3356	3356	3	North America	North America					<sub-region>North America
64960:XXX	3356	64960	XXX							announce to ASXXX if 65000:0
65000:0	3356	65000	0							announce to customers but not to peers
65000:XXX	3356	65000	XXX							do not announce at peerings to ASXXX
65001:0	3356	65001	0							prepend 1x to peers
65001:XXX	3356	65001	XXX							prepend 1x to ASXXX
65002:0	3356	65002	0							prepend 2x to peers
65002:XXX	3356	65002	XXX							prepend 2x to ASXXX
65003:0	3356	65003	0							prepend 3x to peers
65003:XXX	3356	65003	XXX							prepend 3x to ASXXX
65004:0	3356	65004	0							prepend 4x to peers
65004:XXX	3356	65004	XXX							prepend 4x to ASXXX
64980:0	3356	64980	0							announce to customers but not to EU peers
64981:0	3356	64981	0							prepend 1x to all EU peers
64982:0	3356	64982	0							prepend 2x to all EU peers
64983:0	3356	64983	0							prepend 3x to all EU peers
64984:0	3356	64984	0							prepend 4x to all EU peers
3356:70	3356	3356	70							set local preference to 70
3356:80	3356	3356	80							set local preference to 80
3356:90	3356	3356	90							set local preference to 90
3356:9999	3356	3356	9999							blackhole (discard) traffic
3491:7	3491	3491	7							set local preference to 70
3491:8	3491	3491	8							set local preference to 80
3491:9	3491	3491	9							set local preference to 90
3491:10	3491	3491	10							set local preference to 100|<misc>(Default)
3491:11	3491	3491	11							set local preference to 110
3491:100	3491	3491	100							Customer route|<region>North America|<misc>(East Coast)
3491:200	3491	B3491	200							Customer route|<region>North America|<misc>(West Coast)
3491:2000	3491	B3491	2000							Peer route|<region>North America|<misc>(West Coast)
3491:300	3491	3491	300	Europe	Europe					Customer route|<region>Europe
3491:3000	3491	3491	3000	Europe	Europe					Peer route|<region>Europe
3491:400	3491	3491	400	Asia	Asia					Customer route|<region>Asia
3491:4000	3491	3491	4000	Asia	Asia					Peer route|<region>Asia
3491:1000	3491	3491	1000	North America, east Coast	North America					Peer route|<region>North America|<misc>(East Coast)
3491:200	3491	3491	200	North America, west Coast	North America					Customer route|<region>North America|<misc>(West Coast)
3491:2000	3491	3491	2000	North America, west Coast	North America					peer route|<region>North America|<misc>(West Coast)
3491:300	3491	3491	300	Europe	Europe					Customer|<region>Europe
3491:3000	3491	3491	3000	Europe	Europe					Peer|<region>Europe
3491:400	3491	3491	400	Asia	Asia					Customer|<region>Asia
3491:4000	3491	3491	4000	Asia	Asia					Peer|<region>Asia
3491:1001	3491	3491	1001		North America	US		Ashburn		<city>Ashburn (ASH01)
3491:1002	3491	3491	1002		North America	US		Vienna		<city>Vienna (VNA01)
3491:1003	3491	3491	1003		North America	US		Washington		<city>Washington DC (WDC01)
3491:1004	3491	3491	1004		North America	US		Baltimore		<city>Baltimore (BLT01)
3491:1005	3491	3491	1005		North America	US		Philadelphia		<city>Philadelphia (PHL02)
3491:1006	3491	3491	1006		North America	US		New York City		<city>New York (NYC01)
3491:1007	3491	3491	1007		North America	US		Miami		<city>Miami (MIA02)
3491:1008	3491	3491	1008		North America	US		Atlanta		<city>Atlanta (ATL01)
3491:1009	3491	3491	1009		North America	US		Miami		<city>Miami (MIA01)
3491:1010	3491	3491	1010		North America	US		New York City		<city>New York (NYC02)
3491:1011	3491	3491	1011		North America	US		Washington		<city>Washington DC (WDC02)
3491:2001	3491	3491	2001		North America	US		Dallas		<city>Dallas (DAL01)
3491:2002	3491	3491	2002		North America	US		Chicago		<city>Chicago (CHC01)
3491:2003	3491	3491	2003		North America	US		Seattle		<city>Seattle (SEA01)
3491:2004	3491	3491	2004		North America	US		San Jose		<city>SanJose (SJO01)
3491:2005	3491	3491	2005		North America	US		Los Angeles		<city>Los Angeles (LAX01)
3491:2006	3491	3491	2006		North America	US		Los Angeles		<city>Los Angeles (LAX03)
3491:2007	3491	3491	2007		North America	US		Los Angeles		<city>Los Angeles (LAX04)
3491:2009	3491	3491	2009		North America	US		Los Angeles		<city>Los Angeles (LAX05)
3491:2008	3491	3491	2008		North America	US		Denver		<city>Denver (DEN01)
3491:3001	3491	3491	3001		Europe	UK		London		<city>London (LDN01)
3491:3002	3491	3491	3002		Europe	Germany		Frankfurt		<city>FrankFurt (FRF02)
3491:3003	3491	3491	3003		Europe	Italy		Milan		<city>Milan (MIL01)
3491:3004	3491	3491	3004		Europe	Netherlands		Amsterdam		<city>Amsterdam (AMS01)
3491:3005	3491	3491	3005		Europe	Sweden		Stockholm		<city>Stockholm (STK01)
3491:3006	3491	3491	3006		Europe	France		Paris		<city>Paris (PAR01)
3491:3007	3491	3491	3007		Europe	France		Paris		<city>Paris (PAR02)
3491:3008	3491	3491	3008		Europe	France		Paris		<city>Paris (PAR03)
3491:4001	3491	3491	4001		Asia	China		Honk Kong		<city>Hong Kong (HKG04)
3491:4002	3491	3491	4002		Asia	China		Hong Kong		<city>Hong Kong (HKG02)
3491:4003	3491	3491	4003		Asia	China		Shenzen		<city>Shenzen (SZN01)
3491:4004	3491	3491	4004		Asia	China		Shanghai		<city>Shanghai (SHG01)
3491:4005	3491	3491	4005		Asia	Taiwan		Taipei		<city>Taipei (TAP01)
3491:4006	3491	3491	4006		Asia	China		Dungguan		<city>Dungguan (DGN01)
3491:4007	3491	3491	4007		Asia	China		Hong Kong		<city>Hong Kong (HKG05)
3491:4008	3491	3491	4008		Asia	Japan		Tokyo		<city>Tokyo (TOK01)
3491:1001	3491	3491	1001							<ixp>Equinix Ashburn
3491:1002	3491	3491	1002							<ixp>MAE-East
3491:1007	3491	3491	1007							<ixp>NOTA
3491:1008	3491	3491	1008							<ixp>Atlanta-IX
3491:2001	3491	3491	2001							<ixp>Equinix Dallas
3491:2002	3491	3491	2002							<ixp>Equinix Chicago
3491:2002	3491	3491	2002							<ixp>AADS Chicago
3491:2003	3491	3491	2003							<ixp>SIX
